num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,5,4,7,38
,,,,,,,,,5,2,7,140
,,,,,,,,,5,4,5,100
,,,,,,,,,10,8,14,304
,,,,,,,,,8,8,8,340
,,,,,,,,,5,4.8,5,90
,,,,,,,,,10,4,1,30
,,,,,,,,,8,4,6,50
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,10,6,8,150
,,,,,,,,,5,4,7.6,98
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,7,5,2,30
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,2,3.3,25
,,,,,,,,,8,8,5,75
,,,,,,,,,7,5,2,30
,,,,,,,,,8,8,8,340
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,5.5,6,80
,,,,,,,,,5,4,7.6,76
,,,,,,,,,5,2.5,3,14
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,8,14,304
,,,,,,,,,4,4,12,100
,,,,,,,,,7,4,2,20
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,7,3,60
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,4,7.5,62
