num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,5.5,5,5,110
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,6,3,32.5,200
,,,,,,,,,6,3,1,15
,,,,,,,,,7,7,3,60
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8,8,5,75
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,8,8,8,340
,,,,,,,,,7,5,2,30
,,,,,,,,,5,4,7.5,50
,,,,,,,,,7,4,2,20
,,,,,,,,,5,4,2,30
,,,,,,,,,5,4,7.6,98
,,,,,,,,,5,4.8,5,90
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,5,2.5,3,14
,,,,,,,,,7,7,3,60
,,,,,,,,,7,6.5,2,45
,,,,,,,,,6,3,1,15
,,,,,,,,,7,6.5,2,45
,,,,,,,,,5,2,7,140
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,5,5,2,13.7
,,,,,,,,,11,3,4,50
,,,,,,,,,4,4,12,100
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5,5.5,6,80
