num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,7,2,8.3,150
,,,,,,,,,5,4,7.5,62
,,,,,,,,,10,8,14,304
,,,,,,,,,5,2.5,3,14
,,,,,,,,,5,2,25,60
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,5,4,7,38
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,7,3,60
,,,,,,,,,6,3,1,15
,,,,,,,,,4,4,2.5,9.4
,,,,,,,,,8,3,4,50
,,,,,,,,,11,3,4,50
,,,,,,,,,7,6.5,2,45
,,,,,,,,,5,4.8,5,90
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,4,1,30
,,,,,,,,,10,4,1,30
,,,,,,,,,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,10,6,8,150
,,,,,,,,,5,4,7,38
,,,,,,,,,6,3,1,15
,,,,,,,,,5,2,7,140
,,,,,,,,,8,8,8,340
,,,,,,,,,8,3,4,50
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7,7,3,60
,,,,,,,,,8.35,8.35,5.35,21.7
