num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,8,8,5,75
,,,,,,,,,7,4,2,20
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,5,5.5,6,80
,,,,,,,,,4,6,10,200
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,4,4,2.5,9.4
,,,,,,,,,8,8,8,340
,,,,,,,,,11,3,4,50
,,,,,,,,,5,4,7.6,84
,,,,,,,,,10,6,8,150
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,7,2,3.3,25
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,5,2,7,140
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,2,8.3,150
,,,,,,,,,10,4,1,30
,,,,,,,,,8,3,4,50
,,,,,,,,,3.5,2,32.5,132
,,,,,,,,,7,7,3,60
,,,,,,,,,5,2.5,3,14
,,,,,,,,,11,3,4,50
,,,,,,,,,5,4,5,100
,,,,,,,,,5,5,2,13.7
,,,,,,,,,5,4,7.5,50
