num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,4,4,2.5,9.4
,,,,,,,,,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8,3,4,50
,,,,,,,,,5,4,7,38
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,8,8,8,340
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7,4,2,20
,,,,,,,,,7,2,3.3,25
,,,,,,,,,5,2.5,3,14
,,,,,,,,,6,3,32.5,200
,,,,,,,,,8,8,8,340
,,,,,,,,,8,8,8,340
,,,,,,,,,5,4.8,5,90
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,8,8,5,75
,,,,,,,,,7,7,3,60
,,,,,,,,,10,8,14,304
,,,,,,,,,7,7,3,60
,,,,,,,,,5,4,5,100
,,,,,,,,,5,5.5,6,80
,,,,,,,,,11,3,4,50
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,4,1,30
,,,,,,,,,5.5,5,5,110
