num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,7,7,3,60
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,8,8,8,340
,,,,,,,,,5,4,7.6,98
,,,,,,,,,10,4,1,30
,,,,,,,,,5,4,7,38
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,10,8,14,304
,,,,,,,,,5,4,7.6,84
,,,,,,,,,7,5,2,30
,,,,,,,,,5,4.8,5,90
,,,,,,,,,10,4,1,30
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,6,3,1,15
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,5,5,2,13.7
,,,,,,,,,8,4,6,50
,,,,,,,,,10,8,14,304
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,5,2,7,140
,,,,,,,,,8,8,8,340
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,5,4,7,38
,,,,,,,,,6,3,32.5,200
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,3.5,2,32.5,132
