num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,12,1.5,5.6,79
,,,,,,,,,6,3,32.5,200
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,6,3,32.5,200
,,,,,,,,,10,4,1,30
,,,,,,,,,10,8,14,304
,,,,,,,,,6,3,1,15
,,,,,,,,,7,7,3,60
,,,,,,,,,10,8,14,304
,,,,,,,,,6,4,3,14
,,,,,,,,,6,4,3,14
,,,,,,,,,7,4,2,20
,,,,,,,,,5,4.8,5,90
,,,,,,,,,4,4,12,100
,,,,,,,,,8,6.5,7,38
,,,,,,,,,5,5,2,13.7
,,,,,,,,,5,4,7.6,98
,,,,,,,,,10,6,8,150
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,7,5,2,30
,,,,,,,,,8,8,8,340
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,4,6,10,200
,,,,,,,,,8,3,4,50
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,8,6.5,7,38
,,,,,,,,,8,8,8,340
,,,,,,,,,8,3,4,50
