num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,5,4.8,5,90
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5,5.5,6,80
,,,,,,,,,10,9,7.6,76
,,,,,,,,,8,8,8,340
,,,,,,,,,8,4,6,50
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,7,7,3,60
,,,,,,,,,8,3,4,50
,,,,,,,,,6,3,32.5,200
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,10,8,14,304
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,5,4,7.6,80
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8,4,7,140
,,,,,,,,,8,8,8,340
,,,,,,,,,2.5,2,3.8,10.5
,,,,,,,,,4,4,12,100
,,,,,,,,,5,4,2,30
,,,,,,,,,5,4,7.6,98
,,,,,,,,,5,4,7.6,98
,,,,,,,,,6,4,3,14
,,,,,,,,,10,6,8,150
,,,,,,,,,7,6.5,2,45
,,,,,,,,,7,4,2,20
,,,,,,,,,8,8,5,75
,,,,,,,,,7,7,3,60
