num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,30,30,12.5,12.5,8,76.5
,,,,,,,,,7,5,2,30
,,,,,,,,,10,6,8,150
,,,,,,,,,7,6.5,2,45
,,,,,,,,,11,3,4,50
,,,,,,,,,5,4,5,100
,,,,,,,,,8,8,8,340
,,,,,,,,,10,8,14,304
,,,,,,,,,6,3,1,15
,,,,,,,,,8,3,4,50
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,11,3,4,50
,,,,,,,,,10,4,1,30
,,,,,,,,,6,3,32.5,200
,,,,,,,,,8,3,4,50
,,,,,,,,,5.5,5,5,110
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,5,4,2,30
,,,,,,,,,8,8,8,340
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,7,7,3,60
,,,,,,,,,5,4.8,5,90
,,,,,,,,,5,4,7,38
,,,,,,,,,10,4,1,30
,,,,,,,,,7,4,2,20
,,,,,,,,,8,3,4,50
,,,,,,,,,8,8,5,75
,,,,,,,,,7.5,7.5,5,27.5
