num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,8.35,8.35,5.35,21.7
,,,,,,,,,7,5,2,30
,,,,,,,,,6,3,1,15
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,4,6,10,200
,,,,,,,,,5,4.8,5,90
,,,,,,,,,8,6.5,7,38
,,,,,,,,,6,4,3,14
,,,,,,,,,6,3,1,15
,,,,,,,,,6,3,32.5,200
,,,,,,,,,6,4,3,14
,,,,,,,,,10,8,14,304
,,,,,,,,,8,8,8,340
,,,,,,,,,8,8,8,340
,,,,,,,,,8,3,4,50
,,,,,,,,,7,4,2,20
,,,,,,,,,5,5.5,6,80
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5.5,5,5,110
,,,,,,,,,5,5,2.7,20.7
