num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,5,4,2,30
,,,,,,,,,7,7,2.4,60
,,,,,,,,,10,6,8,150
,,,,,,,,,8.4,8.4,2.88,103.68
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,4,7.5,62
,,,,,,,,,7,4.59,3.6,150
,,,,,,,,,8,3,4,50
,,,,,,,,,5,5,4.5,60
,,,,,,,,,6,3,30,200
,,,,,,,,,5,4,7.6,84
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,5,5,2,13.7
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,4,6,60
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7,4.59,3.6,140
,,,,,,,,,4.3,5,5,72
,,,,,,,,,7,7,2,45
