num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,12.5,12.5,8,76.5
,,,,,,,,,10,6,8,150
,,,,,,,,,8,3,4,50
,,,,,,,,,10,8,14,304
,,,,,,,,,8,3,4,50
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,8,8,8,340
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,10,6,8,150
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,10,8,14,304
,,,,,,,,,10,4,1,30
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,8,8,5,75
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,7,5,2,30
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,3.5,3.3,30
