num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,4,2,20
,,,,,,,,,5,4,2,30
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,10,9,7.6,76
,,,,,,,,,5,4.8,5,90
,,,,,,,,,5,5,2,13.7
,,,,,,,,,5,4,7.6,98
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,10,6,8,150
,,,,,,,,,8,6.5,7,38
,,,,,,,,,5.5,5,5,110
,,,,,,,,,7,7,3,60
,,,,,,,,,4,4,12,100
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,8,8,5,75
,,,,,,,,,10,6,8,150
