num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,8,8,5,75
,,,,,,,,,5,4,7.6,80
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8,8,8,340
,,,,,,,,,10,8,14,304
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,5,4.8,5,90
,,,,,,,,,5,4,7.6,98
,,,,,,,,,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5,5,2,13.7
,,,,,,,,,2.5,2,3.8,10.5
,,,,,,,,,2.5,2,3.8,10.5
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,2,3,32.5,80
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,6.3,2,32.5,102
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,7,7,3,60
