num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,12,1.5,5.6,79
,,,,,,,,,8,6.5,7,38
,,,,,,,,,7,5,2,30
,,,,,,,,,7,7,3,60
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,10,8,14,304
,,,,,,,,,11,3,4,50
,,,,,,,,,10,6,8,150
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,5,4.8,5,90
,,,,,,,,,8,4,7,140
,,,,,,,,,10,9,7.6,76
,,,,,,,,,8,4,7,140
,,,,,,,,,5,4,7.6,98
,,,,,,,,,5,4,2,30
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,6,3,1,15
,,,,,,,,,7,6.5,2,45
,,,,,,,,,7,5,2,30
