num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,20,20,5,4,2,30
,,,,,,,,,8,8,8,340
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,7,3,60
,,,,,,,,,11,3,4,50
,,,,,,,,,5,4,7,38
,,,,,,,,,7,6.5,2,45
,,,,,,,,,8,3,4,50
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,5,5.5,6,80
,,,,,,,,,5,2,25,60
,,,,,,,,,8,3,4,50
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,7,4,2,20
,,,,,,,,,4,4,12,100
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5,4.8,5,90
