num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,40,40,7,7,3,60
,,,,,,,,,10,6,8,150
,,,,,,,,,10,6,8,150
,,,,,,,,,10,6,8,150
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,10,4,1,30
,,,,,,,,,8,8,5,75
,,,,,,,,,4,6,10,200
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,5,5,2,13.7
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,5.5,5,5,110
,,,,,,,,,10,8,14,304
,,,,,,,,,7,7,3,60
,,,,,,,,,3.5,2,32.5,132
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,10,6,8,150
,,,,,,,,,8,8,5,75
,,,,,,,,,7,4,2,20
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,10,4,1,30
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,5,4,7.5,62
,,,,,,,,,8,3,4,50
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7,6.5,2,45
,,,,,,,,,7,7,3,60
,,,,,,,,,7,6.5,2,45
,,,,,,,,,8,8,8,340
,,,,,,,,,7,5,2,30
,,,,,,,,,10,8,14,304
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,5,4.8,5,90
,,,,,,,,,8,8,8,340
