num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,40,40,7,4,2,20
,,,,,,,,,10,8,14,304
,,,,,,,,,3.5,2,32.5,132
,,,,,,,,,5,4.8,5,90
,,,,,,,,,7,7,3,60
,,,,,,,,,7,6.5,2,45
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,7,3,60
,,,,,,,,,7,5,2,30
,,,,,,,,,8,8,5,75
,,,,,,,,,8,3,4,50
,,,,,,,,,7,7,3,60
,,,,,,,,,5,5.5,6,80
,,,,,,,,,10,6,8,150
,,,,,,,,,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8,4,6,50
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,6,8,150
,,,,,,,,,8,3,4,50
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,10,6,8,150
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,5.5,5,5,110
,,,,,,,,,5,4.8,5,90
,,,,,,,,,8,8,8,340
,,,,,,,,,7,6.5,2,45
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,5,2,30
,,,,,,,,,8,8,8,340
,,,,,,,,,10,6,8,150
,,,,,,,,,11,3,4,50
