num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,40,40,10,6,8,150
,,,,,,,,,4,6,10,200
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8,8,5,75
,,,,,,,,,7,4,2,20
,,,,,,,,,7,6.5,2,45
,,,,,,,,,7,5,2,30
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,10,8,14,304
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,10,6,8,150
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7,7,3,60
,,,,,,,,,5,5,2,13.7
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,8,3,4,50
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8,4,6,50
,,,,,,,,,5,4,7.5,62
,,,,,,,,,7,6.5,2,45
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,10,4,1,30
,,,,,,,,,8,4,6,50
,,,,,,,,,8,8,8,340
,,,,,,,,,5,4.8,5,90
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,8,3,4,50
,,,,,,,,,10,6,8,150
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,8,8,8,340
,,,,,,,,,7,5,2,30
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,7,6.5,2,45
,,,,,,,,,8,8,8,340
,,,,,,,,,10,8,14,304
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,12.5,12.5,8,76.5
