num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,10,10,32.5,15,15,5,5,2,13.7
,,,,,,,,,7,4.59,3.6,140
,,,,,,,,,5,4,2,30
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,7,4.59,3.6,150
,,,,,,,,,8,4,6,50
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,4,4,2.5,9.4
,,,,,,,,,8,3,4,50
,,,,,,,,,8.4,8.4,2.88,103.68
,,,,,,,,,5,4,6,70
,,,,,,,,,10,6,8,150
,,,,,,,,,7,7,2.4,60
,,,,,,,,,5,5,4.5,60
,,,,,,,,,7,7,2,45
