num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,10,10,32.5,15,15,4,4,2.5,9.4
,,,,,,,,,10,6,8,150
,,,,,,,,,8.4,8.4,2.88,103.68
,,,,,,,,,5,4,2,30
,,,,,,,,,5,5,2.7,20.7
,,,,,,,,,5,4,7.5,62
,,,,,,,,,8.4,8.4,2.88,103.68
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,7,7,3,60
,,,,,,,,,4.3,5,5,72
,,,,,,,,,7,4.59,3.6,140
,,,,,,,,,5,4,6,70
,,,,,,,,,8,4,6,50
,,,,,,,,,6,3,30,200
,,,,,,,,,10,6,8,150
