num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,15,15,11,3,4,50
,,,,,,,,,5,4.8,5,90
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,8,4,6,50
,,,,,,,,,7.5,7.5,4.5,78.6
,,,,,,,,,7,7,3,60
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,8,8,8,340
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8.35,8.35,5.35,21.7
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,8,8,5,75
,,,,,,,,,7,6.5,2,45
,,,,,,,,,8,8,8,340
,,,,,,,,,8.35,8.35,5.35,21.7
