num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,15,15,32.5,15,15,7.5,7.5,5,27.5
,,,,,,,,,12,1.5,5.6,79
,,,,,,,,,8,8,8,340
,,,,,,,,,12.5,12.5,8,76.5
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,6,8,150
,,,,,,,,,7,7,3,60
,,,,,,,,,7,7,3,60
,,,,,,,,,6.25,6.25,4,9.6
,,,,,,,,,7,5,2,30
,,,,,,,,,10,8,14,304
,,,,,,,,,10,8,14,304
,,,,,,,,,7,6.5,2,45
,,,,,,,,,10,4,1,30
,,,,,,,,,8.35,8.35,5.35,21.7
