num_machine,scanning_speed,recoator_speed,setup_m,length_m,width_m,height_m,num_parts,type_parts,length_part,width_part,height_part,volume_part
1,0.030864,0.7,2,10,10,32.5,15,15,8.4,8.4,2.88,103.68
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,6,3,30,200
,,,,,,,,,7,3.5,3.3,30
,,,,,,,,,7.5,7.5,5,27.5
,,,,,,,,,5,4,2,30
,,,,,,,,,5,5,2,13.7
,,,,,,,,,3.3,6,32,90
,,,,,,,,,7,4.59,3.6,150
,,,,,,,,,8,4,6,50
,,,,,,,,,7,7,2,45
,,,,,,,,,7,7,2.4,60
,,,,,,,,,5,4,6,60
,,,,,,,,,5,4,7.6,84
,,,,,,,,,6.25,6.25,4,9.6
